Model,Beta,Min_est,Max_est,Pearson_r,Spearman_r,Jaccard@25%,R²,Time(s)
GWR,β₁,-0.05627647339937796,4.149293217974621,0.9696,0.9699,0.796,0.669,53.7
GWR,β₂,-0.46501327285146526,0.7213406444969767,-0.0517,0.1193,0.1542,,
GWR,β₃,-1.0485109025492179,0.9416757329840748,-0.14,-0.1913,0.1251,,
MGWR,β₁,0.5385197885911084,3.5458899466626512,0.9856,0.9873,0.8685,0.6938,303.8
MGWR,β₂,0.0009700510701845091,0.028379270262762685,-0.2555,-0.1,0.0434,,
MGWR,β₃,-2.026773772578835,1.9215949316451166,-0.0871,-0.1029,0.1521,,
GeoShapley,β₁,0.6495824053798296,3.6242217550786937,0.9631,0.9664,0.8064,0.8942,53.6
GeoShapley,β₂,0.28876433537346835,0.9844317243084697,0.8475,0.9063,0.7934,,
GeoShapley,β₃,0.45960907957646985,1.6048727615415685,0.5236,0.5062,0.3284,,
LCMI,β₁,0.0,1.299711073561979,0.7866,0.7813,0.7581,0.8566,22.9
LCMI,β₂,0.0,0.3752998946433568,0.915,0.8622,0.8012,,
LCMI,β₃,0.0,0.752509731468348,0.6641,0.6643,0.3412,,
